Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000987231,2023-05-23 18:07:20,Jacqueline Maynard,"['Pancake Mix', 'Coffee', 'Ice Cream']",3,16.63,Credit Card,Houston,Specialty Store,True,Middle-Aged,Winter,
1000079954,2022-03-10 16:47:15,David White,['Cleaning Spray'],5,7.46,Debit Card,Miami,Supermarket,False,Middle-Aged,Fall,BOGO (Buy One Get One)
1000567130,2022-07-22 17:02:17,Dr. Thomas Edwards,"['Salmon', 'Garden Hose', 'Deodorant', 'Air Freshener', 'Yogurt']",9,52.27,Cash,Boston,Warehouse Club,True,Teenager,Fall,BOGO (Buy One Get One)
1000500891,2022-04-21 15:14:38,Kristin Collins,"['Power Strips', 'Tuna']",5,25.44,Cash,Los Angeles,Convenience Store,False,Homemaker,Spring,
1000055399,2023-05-03 05:26:02,Robert Finley,"['Cereal', 'Cheese', 'Yogurt', 'Sponges', 'Chicken']",6,86.05,Credit Card,Atlanta,Pharmacy,False,Professional,Fall,BOGO (Buy One Get One)
1000135049,2024-05-10 14:41:36,Mark Campbell,"['Tomatoes', 'Orange', 'Paper Towels', 'Orange']",4,36.63,Cash,Seattle,Warehouse Club,True,Homemaker,Winter,Discount on Selected Items
1000733378,2023-02-08 01:07:47,Tara White,"['Pancake Mix', 'Cheese']",6,43.94,Debit Card,Chicago,Supermarket,True,Young Adult,Summer,
1000732057,2022-10-17 13:38:14,Robin Johnson,"['Butter', 'Peanut Butter', 'Yogurt', 'Olive Oil', 'Broom']",8,6.21,Cash,San Francisco,Supermarket,True,Young Adult,Summer,BOGO (Buy One Get One)
1000051333,2020-05-23 02:05:15,Christopher Patterson,"['Pasta', 'Power Strips']",10,93.94,Debit Card,New York,Department Store,False,Homemaker,Summer,BOGO (Buy One Get One)
1000731479,2021-10-28 10:24:58,Cameron Webster,['Plant Fertilizer'],1,92.83,Credit Card,San Francisco,Convenience Store,True,Homemaker,Fall,Discount on Selected Items
1000399758,2023-05-28 05:10:40,Charles Moss,['Toothbrush'],1,73.37,Debit Card,Atlanta,Convenience Store,False,Professional,Winter,Discount on Selected Items
1000401397,2022-08-06 06:02:47,Daniel Garrett,"['Canned Soup', 'Cheese', 'Banana', 'Laundry Detergent']",9,49.34,Cash,Los Angeles,Supermarket,False,Senior Citizen,Spring,Discount on Selected Items
1000855485,2022-11-03 18:07:17,Jason May,"['Toothbrush', 'Ice Cream', 'Power Strips', 'Air Freshener', 'Cheese']",9,80.78,Credit Card,Los Angeles,Specialty Store,True,Senior Citizen,Winter,
1000858884,2024-03-11 01:55:23,Latoya Cruz,"['Beef', 'Potatoes', 'Cleaning Spray', 'Toothbrush', 'Power Strips']",4,22.5,Mobile Payment,Los Angeles,Warehouse Club,True,Teenager,Summer,
1000503247,2024-05-10 05:30:56,Alexa Hamilton,"['Coffee', 'Toothpaste', 'Vacuum Cleaner', 'Toothbrush', 'Yogurt']",8,45.28,Mobile Payment,Atlanta,Supermarket,False,Homemaker,Winter,
1000864741,2022-07-22 23:17:45,Michael Davis,"['Sponges', 'Cleaning Spray', 'Soda']",9,88.72,Cash,Seattle,Supermarket,False,Retiree,Summer,Discount on Selected Items
1000035032,2021-11-20 12:01:56,Jill Richardson MD,"['Deodorant', 'Pasta', 'Shaving Cream', 'Tea', 'Banana']",5,64.02,Credit Card,Boston,Warehouse Club,False,Senior Citizen,Summer,BOGO (Buy One Get One)
1000995703,2022-07-20 23:45:20,William Campbell,"['Mayonnaise', 'Cereal', 'Baby Wipes', 'Peanut Butter', 'Diapers']",1,38.9,Debit Card,Houston,Warehouse Club,True,Middle-Aged,Spring,Discount on Selected Items
1000376761,2022-05-10 08:28:53,Corey Thomas,"['Trash Bags', 'Shower Gel', 'Broom', 'Bath Towels']",6,72.95,Cash,Boston,Warehouse Club,False,Senior Citizen,Winter,
1000811353,2020-11-11 11:40:36,Malik Evans,"['Razors', 'Butter', 'Soap', 'Tuna', 'Vacuum Cleaner']",5,90.79,Debit Card,Miami,Pharmacy,False,Young Adult,Summer,
1000577745,2020-10-06 10:11:12,Ms. Alexis Allison,"['Ketchup', 'Mayonnaise', 'Banana', 'Shaving Cream']",8,21.37,Debit Card,Atlanta,Convenience Store,False,Student,Winter,Discount on Selected Items
1000659806,2022-08-09 22:30:29,Julia Conrad,"['Peanut Butter', 'Laundry Detergent', 'Jam']",9,17.79,Mobile Payment,Miami,Department Store,False,Teenager,Spring,BOGO (Buy One Get One)
1000219339,2020-10-21 07:51:04,John Gonzales,"['Spinach', 'Diapers', 'Syrup']",10,79.55,Debit Card,Dallas,Warehouse Club,False,Homemaker,Spring,Discount on Selected Items
1000979755,2020-12-02 23:38:25,Matthew Scott,"['Pancake Mix', 'Ironing Board', 'Trash Cans']",1,65.29,Credit Card,Boston,Specialty Store,False,Senior Citizen,Fall,
1000625691,2023-07-08 12:09:07,Brandon Wood,"['Pancake Mix', 'Paper Towels']",9,22.67,Cash,Dallas,Pharmacy,True,Young Adult,Fall,
1000215339,2021-09-21 06:32:05,Victoria Gonzales,"['Trash Cans', 'Tissues', 'Pancake Mix']",7,95.11,Cash,Boston,Convenience Store,False,Student,Spring,
1000443417,2021-04-01 14:02:01,Morgan Roberts,['Jam'],10,35.19,Cash,Los Angeles,Pharmacy,False,Teenager,Winter,
1000980328,2023-04-17 06:40:44,Melissa Davis,"['Coffee', 'Pickles', 'Mustard', 'Lawn Mower', 'Power Strips']",5,25.09,Credit Card,Los Angeles,Specialty Store,False,Student,Fall,
1000336983,2023-04-18 19:10:32,Patrick Thompson,['Coffee'],7,29.58,Cash,Miami,Convenience Store,True,Teenager,Fall,BOGO (Buy One Get One)
1000518812,2022-09-29 01:32:23,Lisa Lee,"['Shampoo', 'Jam']",10,21.37,Credit Card,Dallas,Specialty Store,False,Homemaker,Fall,Discount on Selected Items
1000943378,2020-06-28 09:14:58,Mallory Fuller,['Olive Oil'],9,6.37,Debit Card,Boston,Supermarket,True,Homemaker,Winter,
1000002085,2021-07-30 19:39:06,Wayne Fields,"['Rice', 'Toothpaste']",3,55.52,Credit Card,Seattle,Department Store,False,Young Adult,Winter,BOGO (Buy One Get One)
1000663615,2023-06-06 07:03:06,Ashley Brennan,"['Toilet Paper', 'Baby Wipes', 'Cheese', 'Orange', 'Laundry Detergent']",1,92.32,Cash,Atlanta,Supermarket,False,Retiree,Winter,BOGO (Buy One Get One)
1000677814,2020-09-01 23:54:32,Jordan Tate,"['Carrots', 'Canned Soup']",10,52.25,Cash,Houston,Department Store,True,Teenager,Winter,
1000957737,2023-01-09 03:26:07,Matthew Castillo,"['Diapers', 'Mop']",7,72.95,Debit Card,Houston,Supermarket,False,Young Adult,Summer,
1000543082,2021-11-22 09:55:23,Stephanie Jones,"['Spinach', 'Power Strips', 'Ironing Board', 'Carrots']",10,34.28,Debit Card,Chicago,Pharmacy,False,Middle-Aged,Fall,
1000529927,2024-03-25 14:02:16,Heather Meza,"['Yogurt', 'Feminine Hygiene Products', 'Sponges', 'Deodorant']",1,57.41,Credit Card,Boston,Specialty Store,False,Student,Winter,
1000066336,2021-06-21 11:26:26,Benjamin Pennington,['Baby Wipes'],9,12.54,Mobile Payment,Boston,Supermarket,False,Senior Citizen,Summer,Discount on Selected Items
1000272966,2024-02-01 22:04:58,David Cummings,"['Chips', 'Ketchup', 'Cleaning Spray', 'Toothpaste', 'Cereal Bars']",3,56.6,Cash,Chicago,Warehouse Club,False,Student,Summer,Discount on Selected Items
1000876375,2023-05-09 21:31:41,Teresa Hunter,"['Milk', 'Cereal Bars', 'Shrimp']",10,88.56,Cash,Boston,Warehouse Club,False,Young Adult,Summer,BOGO (Buy One Get One)
1000443181,2022-12-09 05:57:31,Richard Davis DVM,"['Olive Oil', 'Cleaning Spray']",9,7.61,Credit Card,Atlanta,Warehouse Club,True,Student,Fall,
1000038747,2023-04-11 17:18:55,Deborah Hernandez,"['Tissues', 'Chips', 'Toilet Paper', 'Trash Cans', 'Vinegar']",9,79.08,Debit Card,Chicago,Specialty Store,True,Student,Fall,BOGO (Buy One Get One)
1000244518,2023-05-03 22:52:50,Jonathon Hernandez,"['Ice Cream', 'Spinach', 'Olive Oil']",6,70.05,Credit Card,Los Angeles,Warehouse Club,True,Homemaker,Fall,Discount on Selected Items
1000321941,2022-08-02 02:31:17,Kevin Schmidt,"['Eggs', 'Pickles', 'Bath Towels']",6,66.13,Debit Card,Chicago,Pharmacy,False,Teenager,Summer,BOGO (Buy One Get One)
1000212423,2022-11-29 06:57:55,Maria Burch,"['Laundry Detergent', 'Syrup', 'Power Strips']",7,76.41,Credit Card,San Francisco,Warehouse Club,True,Young Adult,Summer,
1000684487,2022-04-18 06:55:22,Luke Romero,"['Coffee', 'Beef', 'Honey', 'Bread', 'Paper Towels']",7,27.52,Mobile Payment,San Francisco,Supermarket,False,Homemaker,Fall,
1000460021,2023-02-18 22:21:51,Marvin Brewer,['Ironing Board'],2,96.17,Cash,Dallas,Pharmacy,False,Young Adult,Summer,BOGO (Buy One Get One)
1000330797,2020-07-24 18:31:42,Erika Scott,['Ironing Board'],10,82.77,Debit Card,Seattle,Warehouse Club,False,Professional,Winter,BOGO (Buy One Get One)
1000820287,2021-03-21 08:48:56,Billy Garcia,"['Tuna', 'Yogurt']",2,18.21,Credit Card,Houston,Supermarket,True,Senior Citizen,Winter,Discount on Selected Items
1000934968,2023-09-13 09:45:13,Sylvia Hansen,"['Dishware', 'Tea']",2,51.79,Cash,Atlanta,Warehouse Club,True,Professional,Fall,Discount on Selected Items
1000878902,2023-02-12 10:37:49,Heather Lyons,"['Potatoes', 'Orange', 'Syrup', 'Razors', 'Lawn Mower']",6,93.56,Mobile Payment,Chicago,Warehouse Club,True,Professional,Spring,Discount on Selected Items
1000507014,2023-02-14 19:58:55,Daniel Murphy,"['Sponges', 'Yogurt', 'Water', 'Tissues']",2,14.34,Debit Card,Boston,Specialty Store,True,Young Adult,Fall,
1000063468,2022-01-02 21:03:40,James Warren,"['Cleaning Spray', 'Shaving Cream', 'Cereal']",10,61.75,Mobile Payment,New York,Warehouse Club,True,Middle-Aged,Winter,
1000568670,2021-10-14 12:32:11,Felicia Shields,"['Butter', 'Rice']",7,41.83,Debit Card,Chicago,Specialty Store,True,Retiree,Winter,
1000855771,2021-05-21 21:58:31,Kyle Anderson,"['Hair Gel', 'Mustard']",3,83.01,Mobile Payment,Seattle,Specialty Store,True,Homemaker,Spring,Discount on Selected Items
1000606372,2021-07-13 14:29:07,Miguel Mullen,"['Mop', 'Feminine Hygiene Products']",9,7.61,Debit Card,Dallas,Warehouse Club,False,Teenager,Summer,
1000358900,2020-03-14 02:30:57,Tyler Figueroa,"['Spinach', 'Milk', 'Cereal Bars', 'Trash Cans']",10,61.44,Credit Card,San Francisco,Supermarket,False,Senior Citizen,Fall,BOGO (Buy One Get One)
1000178392,2021-07-25 02:28:14,Matthew Roy,['Razors'],3,20.57,Debit Card,Dallas,Specialty Store,False,Teenager,Fall,BOGO (Buy One Get One)
1000921914,2022-10-06 19:12:46,Cynthia May,"['Toothpaste', 'Beef']",2,71.81,Credit Card,Chicago,Warehouse Club,True,Young Adult,Summer,BOGO (Buy One Get One)
1000348365,2023-11-08 16:35:25,Mary Reynolds,"['Cheese', 'Razors', 'Soda', 'Water']",1,15.66,Credit Card,Miami,Supermarket,True,Middle-Aged,Spring,BOGO (Buy One Get One)
1000377482,2020-12-15 16:50:37,Mrs. Erica Lopez MD,"['Cereal Bars', 'Pasta', 'Mustard']",7,11.83,Debit Card,Dallas,Pharmacy,True,Retiree,Fall,Discount on Selected Items
1000044792,2020-04-13 17:54:12,Heather Burgess,['Toothbrush'],10,61.81,Mobile Payment,Houston,Department Store,True,Senior Citizen,Spring,BOGO (Buy One Get One)
1000690927,2021-01-17 10:43:40,Michael Reed,"['Cereal Bars', 'Deodorant']",5,41.19,Cash,San Francisco,Supermarket,False,Senior Citizen,Spring,BOGO (Buy One Get One)
1000050313,2021-09-06 00:41:35,Rhonda Roberts,"['Tissues', 'Pasta', 'Sponges']",9,27.79,Mobile Payment,Seattle,Pharmacy,False,Homemaker,Fall,BOGO (Buy One Get One)
1000780881,2022-11-23 12:14:01,Joseph Myers,"['Razors', 'Shampoo']",3,25.96,Debit Card,San Francisco,Supermarket,True,Retiree,Winter,BOGO (Buy One Get One)
1000018958,2021-03-21 11:52:40,Amanda Williams,"['Cleaning Rags', 'Vacuum Cleaner', 'Bread', 'Dustpan']",9,63.68,Credit Card,New York,Convenience Store,True,Middle-Aged,Spring,
1000804703,2023-10-02 12:32:13,Jennifer Diaz,"['Cleaning Rags', 'Razors', 'Cleaning Rags']",1,73.77,Cash,Chicago,Department Store,True,Retiree,Fall,
1000008985,2021-10-14 08:20:13,April Galloway,"['Onions', 'Pickles', 'Cereal Bars', 'Dustpan', 'Shampoo']",7,51.26,Debit Card,Chicago,Convenience Store,True,Young Adult,Summer,
1000099901,2020-11-30 14:46:42,Catherine Miller,"['Eggs', 'Toothbrush', 'Jam', 'Garden Hose', 'Laundry Detergent']",2,19.13,Credit Card,Miami,Convenience Store,False,Professional,Fall,Discount on Selected Items
1000655318,2022-05-05 07:56:02,Cindy Jones,"['Bath Towels', 'Olive Oil', 'Banana']",6,19.88,Mobile Payment,Houston,Warehouse Club,True,Middle-Aged,Summer,Discount on Selected Items
1000224928,2020-11-27 08:25:03,Dennis Ramirez,['Garden Hose'],8,5.64,Mobile Payment,San Francisco,Pharmacy,False,Senior Citizen,Fall,
1000926625,2022-11-30 06:12:20,Johnny Horn,"['Hair Gel', 'Hair Gel', 'Beef']",7,19.89,Credit Card,San Francisco,Specialty Store,True,Student,Winter,Discount on Selected Items
1000067898,2024-01-26 20:13:58,Raymond Payne,"['Bath Towels', 'BBQ Sauce', 'BBQ Sauce', 'Cereal Bars']",4,29.84,Cash,Boston,Warehouse Club,False,Middle-Aged,Winter,Discount on Selected Items
1000068878,2023-06-20 14:21:46,Stephen Weaver,['Plant Fertilizer'],6,15.15,Mobile Payment,Dallas,Specialty Store,False,Retiree,Fall,
1000904484,2022-01-26 10:08:11,Brian Hopkins,"['Trash Bags', 'Pasta', 'Coffee']",7,44.61,Credit Card,Houston,Supermarket,False,Homemaker,Summer,Discount on Selected Items
1000244299,2022-03-18 16:07:34,Mark Wu,"['Vacuum Cleaner', 'Sponges']",2,54.75,Debit Card,Dallas,Department Store,False,Homemaker,Spring,Discount on Selected Items
1000912237,2022-07-29 08:32:22,Cynthia Salas,"['Laundry Detergent', 'Air Freshener', 'Water', 'Chicken', 'Plant Fertilizer']",9,40.78,Debit Card,Chicago,Department Store,False,Middle-Aged,Spring,Discount on Selected Items
1000803684,2022-08-29 16:29:24,Jessica Mitchell,"['Cleaning Spray', 'Air Freshener', 'Canned Soup', 'Lawn Mower']",9,46.72,Mobile Payment,Dallas,Department Store,False,Senior Citizen,Fall,Discount on Selected Items
1000444936,2021-10-21 20:38:33,Lindsey Miranda,"['Iron', 'Cleaning Spray', 'Coffee', 'Butter', 'Eggs']",9,82.84,Mobile Payment,San Francisco,Specialty Store,False,Senior Citizen,Spring,
1000895958,2022-06-16 06:27:47,Amanda Callahan,"['Butter', 'Broom', 'Butter']",4,11.94,Debit Card,Houston,Specialty Store,True,Teenager,Winter,BOGO (Buy One Get One)
1000858828,2021-07-10 16:23:17,Michael Phillips,"['Laundry Detergent', 'Tuna']",4,22.85,Debit Card,Chicago,Supermarket,True,Senior Citizen,Summer,Discount on Selected Items
1000575347,2021-09-28 03:26:02,Charles Jackson,"['Hair Gel', 'Water', 'Trash Bags']",3,41.14,Mobile Payment,Atlanta,Warehouse Club,False,Middle-Aged,Summer,
1000464016,2020-12-27 17:05:00,Andrew Freeman,"['Salmon', 'Jam']",1,10.28,Cash,Miami,Warehouse Club,True,Young Adult,Spring,BOGO (Buy One Get One)
1000196829,2020-03-18 20:06:35,James Mcdaniel,"['Chips', 'Sponges']",9,47.29,Mobile Payment,Seattle,Pharmacy,False,Homemaker,Summer,BOGO (Buy One Get One)
